Exp_ID,Experiment,ID,Temp,Sex,Genotype,Age,Batch,BMP 16:0_16:0,BMP 16:0_16:1,BMP 16:0_18:0,BMP 16:0_18:1,BMP 16:0_18:2,BMP 16:0_18:3,BMP 16:0_20:4,BMP 16:0_22:6,BMP 16:1_16:1,BMP 16:1_20:4,BMP 16:1_20:5,BMP 16:1_22:6,BMP 18:0_18:0,BMP 18:0_18:1,BMP 18:0_18:2,BMP 18:0_18:3,BMP 18:0_20:4,BMP 18:0_20:5,BMP 18:1_18:1,BMP 18:1_18:2,BMP 18:1_18:3,BMP 18:1_20:4,BMP 18:1_20:5,BMP 18:1_22:6,BMP 18:2_18:2,BMP 18:2_18:3,BMP 18:2_20:4,BMP 18:2_20:5,BMP 18:2_22:5,BMP 18:2_22:6,BMP 18:3_22:5,BMP 18:3_22:6,BMP 20:4_20:4,BMP 20:4_20:5,BMP 20:5_22:5,BMP 20:5_22:6,BMP 22:5_22:6,BMP 22:6_22:6,PG 16:0_16:0,PG 16:0_16:1,PG 16:0_18:0,PG 16:0_18:1,PG 16:0_18:2,PG 16:0_18:3,PG 16:0_20:4,PG 16:0_22:6,PG 16:1_16:1,PG 16:1_20:4,PG 16:1_22:6,PG 18:0_18:0,PG 18:0_18:1,PG 18:0_18:2,PG 18:0_18:3,PG 18:0_20:4,PG 18:1_18:1,PG 18:1_18:2,PG 18:1_18:3,PG 18:1_20:4,PG 18:1_20:5,PG 18:1_22:6,PG 18:2_18:2,PG 18:2_18:3,PG 18:2_20:4,PG 18:2_20:5,PG 18:2_22:5,PG 18:2_22:6,PG 18:3_18:3,PG 18:3_22:6,PG 20:4_20:4,PG 20:4_20:5,PG 20:5_20:5,PG 20:5_22:6,PG 22:5_22:5,PG 22:5_22:6,PG 22:6_22:6,Total_BMP,Total_PG
1,26,35,Cold,Male,WT,Old,1,0.07871350364963503,0.01855839416058394,0.06245742092457421,0.7804562043795619,0.21594890510948905,0.006408150851581508,0.07232603406326034,0.3134957420924574,0.05005839416058394,0.07669525547445255,0.11550182481751824,1.3939835766423356,NA,0.12359549878345498,0.01794464720194647,7.457420924574209e-4,0.09302737226277372,0.03804683698296837,3.330903892944039,6.981476885644769,0.24223965936739655,1.9761027980535282,0.8405614355231142,13.258552311435523,0.3264452554744525,0.19747992700729924,1.10167700729927,0.6049215328467153,0.7378832116788322,14.036045012165449,0.020029197080291973,1.021177615571776,0.5235097323600972,0.6160255474452555,0.2696015815085158,1.2924507299270074,0.3170273722627737,0.07991788321167884,0.08261009732360097,3.378572384428224,0.09356082725060827,6.797663625304137,45.36065145985402,0.1473029197080292,2.5242232360097323,0.4817950121654501,0.08523114355231143,0.022757299270072993,0.015043795620437955,0.1172043795620438,1.0933759124087592,5.2948065693430655,0.032341240875912405,0.1527603406326034,0.14619829683698296,1.1306380778588807,0.026761557177615573,0.2960784671532847,0.005107664233576642,0.05991484184914841,0.06343795620437956,0.021031630170316302,0.0558278588807786,0.0042165450121654504,0.6357743309002433,0.06731143552311436,0.01462287104622871,0.11311009732360097,0.004528588807785889,0.01245133819951338,0.016667883211678832,0.03147566909975669,0.037475060827250606,0.009256082725060826,0.534691605839416,51.23199209245742,68.96647810218978
2,26,36,Cold,Male,WT,Old,1,0.07977784090909092,0.01607102272727273,0.049167045454545456,0.7831238636363637,0.1782965909090909,0.00487840909090909,0.07688863636363638,0.27661022727272727,0.05403352272727273,0.09028636363636362,0.05375227272727273,1.307040909090909,5.46590909090909e-4,0.12406193181818181,0.01080909090909091,2.454545454545455e-4,0.10058465909090909,0.038983522727272735,3.7882130681818182,6.698324431818182,0.2084227272727273,2.174948295454546,0.7750630681818182,12.30572159090909,0.20517272727272726,0.13041420454545455,1.07325,0.4353704545454546,0.6742272727272727,10.338455681818182,0.014951704545454546,0.40526477272727274,0.5793295454545455,0.32337670454545453,0.1489284090909091,1.099434659090909,0.7664125,0.05375397727272727,0.05086363636363637,4.190475,0.08219772727272727,6.955528409090909,39.69469886363636,0.12398693181818182,3.2978613636363634,0.4241903409090909,0.07412784090909091,0.02280227272727273,0.009139772727272727,0.13155170454545453,0.8665693181818183,4.231621590909091,0.04728125,0.11220568181818182,0.06875056818181818,0.934640340909091,0.00946818181818182,0.34474261363636366,0.005475568181818181,0.07669204545454546,0.07028295454545455,0.010107386363636364,0.0730625,0.003873295454545455,0.6786710227272728,0.03031193181818182,0.020671022727272725,0.1868403409090909,0.0026772727272727274,0.01451875,0.020530113636363638,0.021772727272727273,0.03997897727272727,0.008344886363636363,0.6437465909090909,45.444193750000004,63.58026079545454
3,26,37,Cold,Male,WT,Old,1,0.0813239815526518,0.014264411990776325,0.05872886241352805,0.9425026902382782,0.17833858570330516,0.004799769408147579,0.06728036126056879,0.27717140661029976,0.0340630284396618,0.06073270561106841,0.03734492697924673,1.073760760953113,0.0019098770176787085,0.18142217524980783,0.014678324365872403,0.0020793620292083015,0.0859686779400461,0.03155245964642583,3.670182936202921,6.39940584166026,0.18891352805534206,1.9422411606456573,0.7131197156033819,13.198976172175248,0.30294523443504995,0.1010447732513451,0.8640951191391237,0.41994523443505,0.6376815910837818,11.185656225980015,0.014275365103766334,0.3649358186010761,0.41704554189085324,0.2361514219830899,0.1359379323597233,1.0403756725595694,0.8191481552651807,0.0726260568793236,0.05929265949269792,2.991860684089162,0.13760799385088393,7.551050730207533,42.1477667179093,0.11552709454265948,2.2948679861644887,0.41556571867794007,0.06390392006149116,0.016987125288239816,0.015517678708685628,0.17003900845503458,1.015098770176787,4.317099730976172,0.04660664873174481,0.12224192928516525,0.08412451960030745,1.0612298232129131,0.012492890084550345,0.27809838585703306,0.0042348193697156035,0.06093274404304382,0.047122598001537286,0.007990584166026134,0.08170734050730206,0.004800345887778631,0.6905695618754805,0.03600230591852421,0.018133743274404306,0.1750987701767871,0.0038791314373558808,0.012384511913912374,0.018557455803228286,0.02194254419677171,0.03634185242121445,0.0065003843197540346,0.5842828593389701,45.872625864719446,64.7274615680246
4,26,38,Cold,Male,WT,Old,1,0.08933461243284727,0.018419608595548732,0.04371354566385265,0.873233115886416,0.2108392171910975,0.0023386415963161933,0.07479681504221028,0.2676976208749041,0.062317920184190335,0.09462490406753646,0.050281657712970065,1.3423440138142748,NA,0.13109976976208748,0.014619531849577896,3.7759017651573293e-4,0.11355679201841903,0.035932655410590944,3.9947279355333842,7.930424597083654,0.24260974673829624,2.1650853798925556,0.7106788181120491,12.423887567152724,0.19652820414428243,0.18497947045280122,1.2746252877973907,0.47852359938603223,0.8431226016884114,12.40959439754413,0.018442632386799693,0.4572231389102072,0.6194401381427476,0.26800671527244824,0.13434612432847276,0.9757960475825019,0.634205871066769,0.05826343054489639,0.05087279355333845,3.956719685341519,0.07233960092095165,5.495734075211051,38.22640291634689,0.09287624712202609,3.339884689178818,0.4075602455871067,0.07967613200306983,0.02499520337682272,0.0171371834228703,0.12566500383729856,0.8611939754412894,5.147270145817345,0.053039907904834996,0.13055237912509593,0.06759036838066002,1.1388551419800461,0.014584420567920184,0.44603242517267844,0.00449712202609363,0.07302858787413662,0.07971699923254029,0.0064811972371450486,0.06894877206446662,0.0027179585571757486,0.5743883346124329,0.0439247889485802,0.023679393706830393,0.29848561013046815,0.004294512663085189,0.011206830391404451,0.016121834228702992,0.024254412893323102,0.031185149654643134,0.007959324635456639,0.5638106293169608,49.446039716039905,61.583683998465084
5,26,39,Cold,Male,WT,Old,1,0.07132567199065055,0.013511102454226721,0.04614063108687184,0.8236168679392286,0.20381476431632253,0.005158550837553564,0.06885508375535644,0.280569536423841,0.0340687573042462,0.0717843786521231,0.041223996883521616,1.0164454616283598,NA,0.1436365407089988,0.010379041682898325,5.720685625243474e-4,0.0934867549668874,0.03608648227502921,3.4567041293338527,6.756579080638877,0.1995029216984807,1.9670884300740163,0.7717076353720296,12.010130697312036,0.21694312426957532,0.1539624074795481,1.0339925983638487,0.4642047136735488,0.7183609271523179,12.281933969614334,0.013814374756525126,0.42073626801714054,0.4892863264511102,0.2597863264511102,0.1323289832489287,1.0940329178028827,0.831440592130892,0.05666342033502141,0.042450525905726524,2.3691135566809502,0.10915582391897155,6.227203544994157,38.45953135956369,0.09935118815738216,2.226738021036229,0.33619575379820804,0.05352843786521231,0.017329178028827424,0.014223412543825475,0.15849396182313982,0.980351967276977,4.63439696143358,0.04121932216595247,0.12389403973509933,0.06323373587845733,0.8972793143747564,0.012210362290611608,0.26788410596026485,0.0073404752629528626,0.04137534086482275,0.06936112193221658,0.0066807557460070105,0.044980132450331126,0.005343202181534865,0.7002697701597195,0.042553954031943904,0.014562329567588624,0.10237222438644332,0.0035837553564472143,0.01229275418776782,0.018388001558239185,0.02228788469029996,0.04397156213478769,0.010312426957537979,0.4780921308920919,46.28987553564472,58.75755239579275
6,26,40,RT,Male,WT,Old,1,0.09000841683366734,0.011057915831663327,0.07266853707414829,1.012442885771543,0.22304609218436877,0.003944488977955912,0.0796436873747495,0.28913747494989983,0.01262885771543086,0.054574749498997994,0.030913827655310623,0.6611615230460922,NA,0.18345210420841682,0.012926452905811623,0.0014326653306613226,0.09822144288577153,0.03499178356713427,3.6911284569138276,6.326132464929859,0.1454993987975952,2.1229707414829657,0.7236787575150301,11.957377154308617,0.38452124248496994,0.09801823647294589,1.0152294589178357,0.5067535070140281,0.7269366733466933,12.812507615230462,0.013445290581162327,0.35765350701402804,0.486713627254509,0.2638683366733467,0.154686372745491,1.4491575150300602,0.8348230460921845,0.07471683366733466,0.046941282565130256,2.1480102204408817,0.15547334669338675,7.150237875751502,45.14295330661323,0.1392745490981964,2.771935671342685,0.3933216432865731,0.03612865731462926,0.01567635270541082,0.011015831663326654,0.08481162324649298,0.9790118236472946,5.240267735470941,0.03254188376753507,0.13261262525050102,0.0694809619238477,0.8611647294589178,0.013207815631262524,0.2494629258517034,0.004049098196392785,0.06818236472945892,0.051624048096192386,0.010806613226452906,0.04433807615230461,0.006340881763527054,0.5320731462925852,0.03797254509018036,0.009874749498997996,0.06320801603206413,0.003980561122244489,0.010367735470941884,0.01822004008016032,0.029349498997995993,0.03559118236472946,0.004924448897795591,0.5663200400801603,47.01807114228457,67.17075390781564
7,26,41,RT,Male,WT,Old,1,0.07784070796460177,0.011075990765679108,0.05484782608695652,1.0152171989226626,0.20583993843786072,0.0024892266256252406,0.060388995767602927,0.24257175836860334,0.01312370142362447,0.04538207002693343,0.02966237014236245,0.6665563678337822,NA,0.17694286263947673,0.01474778761061947,5.944594074644094e-5,0.09544420931127356,0.03210484801846865,4.403538861100423,7.326598499422856,0.15395690650250096,1.9774790303963061,0.6830298191612159,11.463251635244326,0.2610057714505579,0.10895286648711043,0.9572193151212005,0.4559405540592536,0.6851115813774529,12.150210657945363,0.012162754905732974,0.34586398614851865,0.39229934590227006,0.19853501346671798,0.11088110811850711,1.2066158137745286,0.6162483647556752,0.06400076952674105,0.038769141977683726,1.718682570219315,0.15239803770681032,6.454674874951905,49.47121373605233,0.11039630627164293,2.5563041554444017,0.2930638707195075,0.03450346287033475,0.012783762985763756,0.009455944594074644,0.10566429395921509,0.8887756829549828,4.85666410157753,0.0472439399769142,0.12670180838784148,0.07449615236629473,1.0274959599846094,0.01092881877645248,0.2837781839168911,0.005769719122739516,0.0610786841092728,0.07258580223162756,0.01111177375913813,0.08399826856483263,0.0027397075798383996,0.5935001923816853,0.035638707195075024,0.014850519430550213,0.10189034243939976,0.002048864948056945,0.01043305117352828,0.014676798768757215,0.025703155059638324,0.04059003462870335,0.005919776837245094,0.4653428241631397,46.317197960754136,69.82187302808772
8,26,42,RT,Male,WT,Old,1,0.08665803425774876,0.01719616639477977,0.05857585644371941,0.9125004078303425,0.19006321370309948,0.0029449429037520392,0.09663560358890701,0.2610813621533442,0.029360114192495925,0.0827134991843393,0.0413894779771615,1.0842051386623166,4.5697389885807505e-4,0.15009849102773246,0.014454934747145185,0.0011097063621533442,0.12404119086460032,0.043022838499184334,4.412531402936378,7.97165823817292,0.21039702283849918,2.6105891109298534,0.859056484502447,13.911335848287111,0.30359461663947795,0.13650978792822185,1.4168105628058727,0.5519547308319739,0.8691233686786296,13.777997960848287,0.020481239804241436,0.4479506525285481,0.7384863376835237,0.3264378058727569,0.1536900489396411,1.4389930668841762,0.7391194942903753,0.07554384176182709,0.05307565252854812,3.120165171288744,0.08787907830342578,6.59306953507341,48.508797920065255,0.1437247145187602,3.5169696166394777,0.4299359706362153,0.09655485318107668,0.017428017944535072,0.02200815660685155,0.12085705546492659,0.7249061990212071,4.646094616639478,0.04505750407830343,0.11998960032626428,0.07628650081566068,1.0784008972267536,0.016447389885807503,0.3644706362153344,0.006141313213703099,0.07078874388254487,0.06129261827079934,0.011077487765089721,0.06751835236541599,0.006195758564437193,0.6995695350734096,0.05076386623164763,0.014105016313213701,0.1331519168026101,0.004159257748776509,0.015121737357259381,0.0204384176182708,0.02496472267536705,0.04459991843393149,0.008124592169657423,0.6858535889070146,54.168769575856444,71.70598592985318
9,26,43,RT,Male,WT,Old,1,0.08691438623924941,0.0159517200938233,0.06042103205629399,1.139091086786552,0.2097824472243941,0.005330922595777951,0.1045484753713839,0.21868862392494137,0.023549061767005476,0.07885906958561376,0.03794800625488663,0.793498827208757,NA,0.17680297107114934,0.01422478498827209,0.0011417122752150118,0.1519826035965598,0.04707642689601251,5.407459538702111,7.4296419077404225,0.17105746677091477,3.0973064894448785,0.9574790852228304,12.083699765441752,0.2529540656763096,0.0874773260359656,1.3895822908522284,0.5054648162627052,0.8757302580140734,10.171268960125099,0.018224003127443315,0.2692582095387021,0.7987922204847536,0.3548578967943706,0.19175488663017987,1.075735731039875,0.6095828772478499,0.07130336200156372,0.05588467552775606,2.9777926114151683,0.09066614542611416,7.959978694292416,50.06143158717749,0.12552795152462862,2.835117279124316,0.37464933541829554,0.10982779515246287,0.01901856919468335,0.016048475371383895,0.11277736512900705,0.7166035965598124,3.1197478498827205,0.04660437842064113,0.1079941360437842,0.09273612197028928,1.1414214229867083,0.014509773260359656,0.27403264268960126,0.011075840500390932,0.05103166536356529,0.06301348709929633,0.009825645035183739,0.07442181391712274,0.005178459734167319,0.8455461297888978,0.030768178264268958,0.010252541047693511,0.10485398749022674,0.003594018764659891,0.015572908522283033,0.025037333854573886,0.030503713838936672,0.04933170445660672,0.008298084440969508,0.8769792806880377,48.98444331508992,72.46765519937452
10,26,44,RT,Male,WT,Old,1,0.05162703962703962,0.010166666666666666,0.03916258741258741,0.6358106060606061,0.14535897435897435,0.004357808857808858,0.05194055944055945,0.1725804195804196,0.029336829836829836,0.06509382284382284,0.03819405594405594,0.9396730769230768,1.7191142191142188e-4,0.08158682983682983,0.012495920745920744,4.970862470862471e-4,0.09038228438228438,0.028838578088578086,2.780890442890443,6.4808951048951045,0.17577156177156178,1.9154527972027975,0.5657237762237762,10.424335664335665,0.22463286713286712,0.1458607226107226,1.1538205128205128,0.443497668997669,0.7240571095571096,11.682173076923078,0.021018065268065267,0.40900582750582753,0.5536544289044288,0.2152843822843823,0.10987587412587413,1.0287325174825175,0.5220168997668998,0.05388519813519814,0.04868414918414919,2.8465996503496505,0.05894638694638695,5.773634032634033,41.21109615384615,0.13220745920745922,2.936374708624709,0.3700780885780886,0.11087121212121213,0.02591958041958042,0.01714160839160839,0.10478846153846154,0.6878047785547785,4.156475524475525,0.048486596736596735,0.10501398601398601,0.0702925407925408,1.1732674825174825,0.016075757575757577,0.3355961538461538,0.00584090909090909,0.04953263403263403,0.07249766899766899,0.008075174825174825,0.07646678321678323,0.005152097902097902,0.6243980186480186,0.04703671328671329,0.015203379953379956,0.1748397435897436,0.00409032634032634,0.013953962703962703,0.023026806526806526,0.03342715617715618,0.03913170163170163,0.010747086247086247,0.5158041958041958,42.02785955710956,61.94857867132867
