Exp_ID,Experiment,ID,Condition,Temp,Sex,Genotype,Age,Batch,BMP 16:0_16:0,BMP 16:0_16:1,BMP 16:0_18:0,BMP 16:0_18:1,BMP 16:0_18:2,BMP 16:0_18:3,BMP 16:0_20:4,BMP 16:0_22:6,BMP 16:1_16:1,BMP 16:1_20:4,BMP 16:1_20:5,BMP 16:1_22:6,BMP 18:0_18:1,BMP 18:0_18:2,BMP 18:0_20:4,BMP 18:0_20:5,BMP 18:1_18:1,BMP 18:1_18:2,BMP 18:1_18:3,BMP 18:1_20:4,BMP 18:1_20:5,BMP 18:1_22:6,BMP 18:2_18:2,BMP 18:2_18:3,BMP 18:2_20:4,BMP 18:2_20:5,BMP 18:2_22:5,BMP 18:2_22:6,BMP 18:3_22:5,BMP 18:3_22:6,BMP 20:4_20:4,BMP 20:4_20:5,BMP 20:5_22:5,BMP 20:5_22:6,BMP 22:5_22:6,BMP 22:6_22:6,PG 16:0_16:0,PG 16:0_16:1,PG 16:0_18:0,PG 16:0_18:1,PG 16:0_18:2,PG 16:0_18:3,PG 16:0_20:4,PG 16:0_22:6,PG 16:1_16:1,PG 16:1_20:4,PG 16:1_22:6,PG 18:0_18:0,PG 18:0_18:1,PG 18:0_18:2,PG 18:0_18:3,PG 18:0_20:4,PG 18:1_18:1,PG 18:1_18:2,PG 18:1_18:3,PG 18:1_20:4,PG 18:1_20:5,PG 18:1_22:6,PG 18:2_18:2,PG 18:2_18:3,PG 18:2_20:4,PG 18:2_20:5,PG 18:2_22:5,PG 18:2_22:6,PG 18:3_18:3,PG 18:3_22:6,PG 20:4_20:4,PG 20:4_20:5,PG 20:5_20:5,PG 20:5_22:6,PG 22:5_22:5,PG 22:5_22:6,PG 22:6_22:6,Total_BMP,Total_PG
1,45,45,Con_RT,RT,Male,Con,Young,3,0.05146593071945185,0.006539017891130567,0.08455900266463647,0.9161305671869052,0.1627223068138561,0.0037982489531785306,0.0560081842405786,0.25034240578606776,0.013082603730491055,0.049927674153026264,0.023166920441568324,0.9515133231823372,0.16079177769318614,0.021532165968785686,0.09666920441568329,0.026797868290826036,2.7828328892272554,4.979165778454511,0.11430890749904835,1.8532354396650175,0.5105555767034641,13.117553673391702,0.2215877426722497,0.11448191853825658,0.8097350590026645,0.3307502854967644,0.4383403121431291,16.521143890369242,0.010741530262657024,0.6138368861819565,0.5537072706509326,0.24794880091358967,0.09242158355538638,1.603614198705748,1.9979817282070804,0.10041377997716026,0.04242367719832509,2.5452253521126758,0.19319566044918157,10.27690768937952,56.57300818424057,0.14771602588504,3.3430483441187664,0.3746214312904454,0.08150761324704986,0.022819756376094402,0.018533307955843167,0.11857480015226494,2.037400266463647,7.8026716787209756,0.041084126379901026,0.1492462885420632,0.14318405024743053,1.694051579748763,0.02138998858012943,0.3639050247430529,0.009605824133993147,0.08442310620479633,0.06799333840883136,0.0058772363913208985,0.06580643319375715,0.006678911305671869,0.7642160258850399,0.044693947468595355,0.033930148458317475,0.1611395127521888,0.005550057099352874,0.019654168252759802,0.03551808146174343,0.04020708031975637,0.08795755614769699,0.012547011800532928,0.528707460982109,49.88940445374953,87.9650207460982
2,45,46,Con_RT,RT,Male,Con,Young,3,0.06910000000000001,0.00913030303030303,0.08455939393939392,0.8172981818181817,0.1482309090909091,0.0028903030303030304,0.044175151515151515,0.2645569696969697,0.018633333333333335,0.05117030303030303,0.027783030303030302,1.1106987878787877,0.1552181818181818,0.019587272727272727,0.07698484848484849,0.026343636363636364,2.582779393939394,4.7810806060606055,0.11087333333333332,1.5583606060606061,0.5416072727272727,13.219838181818181,0.2974442424242424,0.11520242424242426,0.7840448484848485,0.40773757575757574,0.5478078787878787,17.51346909090909,0.01665090909090909,0.5499181818181819,0.4155575757575757,0.20970787878787875,0.11157030303030302,1.8069824242424244,1.224321818181818,0.11012060606060604,0.03573757575757576,3.1649939393939395,0.28746969696969693,10.538087878787879,56.53073454545455,0.17395757575757573,4.774778181818181,0.3452090909090909,0.07480121212121212,0.02712484848484848,0.01232242424242424,0.14325454545454544,1.786911515151515,10.307274545454545,0.07574848484848484,0.19075939393939392,0.09784666666666665,1.3013454545454546,0.017734545454545454,0.42353151515151516,0.007055151515151515,0.08136909090909092,0.06124424242424242,0.009373939393939393,0.05463090909090908,0.00613030303030303,0.5650666666666667,0.046006060606060606,0.022754545454545454,0.12922545454545453,0.0056078787878787876,0.013819393939393937,0.02295939393939394,0.0406369696969697,0.09259999999999999,0.017124848484848486,0.5870272727272727,49.831435757575754,92.07225575757576
3,45,47,Con_RT,RT,Male,Con,Young,3,0.06886456252497003,0.005209548541749899,0.10543088294047143,0.8954065121853775,0.14850239712345184,0.0030149820215741104,0.05300339592489013,0.2605385537355174,0.00851578106272473,0.04570235717139432,0.029605673192169394,0.6582920495405512,0.17832441070715138,0.020264083100279665,0.0896326408310028,0.029671594087095483,2.7474618457850575,4.968892329204954,0.10565681182580902,1.7633845385537352,0.5710649220934878,11.72304594486616,0.33879684378745506,0.10171474230922892,0.8471805833000398,0.41245805033959254,0.45973471833799434,13.561606072712744,0.008759688373951259,0.4823605673192169,0.43675829005193756,0.3180305633240112,0.15264163004394726,1.4514870155813024,1.0153567718737515,0.0934362764682381,0.044977227327207346,3.440303635637235,0.3825533359968038,12.87440531362365,65.19680363563724,0.18694866160607268,6.725611066719935,0.41716779864163006,0.06586815821014781,0.022372353176188575,0.009448861366360367,0.10939272872552937,1.645529964043148,10.885580902916498,0.1048783459848182,0.2232171394326808,0.110763883339992,1.4286915701158611,0.023198761486216538,0.5320661206552136,0.006198961246504194,0.06681322413104274,0.06933979224930083,0.012596883739512583,0.07263523771474231,0.004128445864962045,0.53630663204155,0.058229125049940066,0.025338194166999603,0.13992908509788252,0.005467838593687574,0.018262485017978426,0.023614063124250895,0.04288633639632441,0.09152696763883339,0.008479824210946863,0.48213224131042753,44.159807630842984,106.09366480223731
4,45,48,Con_RT,RT,Male,Con,Young,3,0.06920683661645423,0.008886442641946697,0.08040208574739281,0.8979606025492468,0.15910312862108922,0.0030996523754345307,0.057003476245654695,0.2626610660486674,0.01722595596755504,0.06035631517960602,0.029532444959443797,0.9683858632676708,0.14726651216685976,0.019823870220162226,0.10209675550405563,0.025969872537659325,3.2127433371958287,5.056985515643105,0.12295422943221321,2.118709733487833,0.5208006952491309,12.71677172653534,0.22174333719582848,0.09805330243337194,0.9429241019698725,0.3224895712630359,0.42734356894553877,13.213945538818075,0.010815758980301274,0.5519571263035921,0.7498777520278098,0.3397068366164542,0.10874565469293163,1.1932694090382387,1.6354235225955964,0.088648899188876,0.05858980301274624,4.707278099652375,0.1758342989571263,11.415513325608343,66.71430533024333,0.18441483198146,5.800861529548087,0.41689513325608346,0.11473580533024333,0.0302305909617613,0.009663383545770567,0.1570028968713789,1.7638673232908455,7.813016801853997,0.0706460023174971,0.1652363847045191,0.15734878331402086,1.9945596755504056,0.019786790266512165,0.6316164542294321,0.006973928157589802,0.09602375434530706,0.10078794901506373,0.005163962920046349,0.07840787949015064,0.0028528389339513324,1.062528968713789,0.01507531865585168,0.04451680185399768,0.26831286210892236,0.0030857473928157584,0.023214368482039397,0.03872421784472769,0.04758169177288528,0.09395828505214367,0.015453070683661642,0.6637595596755503,46.56289049826187,104.96782444959443
5,45,49,Con_RT,RT,Male,Con,Young,3,0.08167570621468925,0.007527683615819209,0.11415819209039547,0.7980248587570622,0.14808587570621468,0.005306214689265537,0.04655988700564972,0.25016158192090393,0.007527118644067796,0.03187683615819208,0.019631638418079096,0.4447960451977401,0.1472949152542373,0.02213898305084746,0.06668700564971751,0.020425423728813556,2.1377293785310734,4.893201694915254,0.10356553672316383,1.396176836158192,0.40507627118644063,10.646445762711865,0.27874011299435025,0.07718587570621468,0.6976079096045198,0.31729039548022603,0.38964124293785307,10.6920802259887,0.00807683615819209,0.37983954802259884,0.41093954802259886,0.2381322033898305,0.10565084745762711,1.0132463276836159,0.7160734463276835,0.07376440677966102,0.16727231638418077,3.4264519774011295,0.5709197740112995,13.20680395480226,54.94645423728813,0.16008870056497174,7.429870056497174,0.5673853107344632,0.06401468926553672,0.020725423728813558,0.0059954802259887,0.1399960451977401,2.0015090395480226,9.254416949152542,0.3915468926553672,0.25869887005649717,0.1822830508474576,1.5215107344632766,0.027969491525423728,0.6346700564971751,0.006641242937853106,0.08631355932203388,0.07633446327683614,0.00895593220338983,0.06784067796610169,0.0030802259887005652,0.5035661016949152,0.05473050847457627,0.023375706214689266,0.12160564971751411,0.004640112994350283,0.017180225988700566,0.010062711864406779,0.03788757062146892,0.08222203389830508,0.011705649717514123,0.3982779661016949,37.192342372881356,96.4930033898305
6,45,50,Con_Cold,Cold,Male,Con,Young,3,0.06994148936170212,0.014283096926713949,0.08446985815602837,0.8437878250591017,0.19754905437352246,0.006219267139479905,0.05469621749408984,0.31198463356973993,0.0361371158392435,0.07188829787234043,0.04502718676122931,1.1602417257683215,0.15793617021276596,0.023048463356973997,0.08446631205673759,0.02549822695035461,3.126784869976359,5.895310874704491,0.15121040189125295,1.7988043735224588,0.51525,11.87218498817967,0.2396276595744681,0.16856678486997637,0.8802842789598108,0.45529609929078013,0.4562955082742317,13.903482269503547,0.021323286052009453,0.5951081560283689,0.5118593380614658,0.3002104018912529,0.12402718676122931,1.0585845153664304,0.9085360520094562,0.07882033096926713,0.04185224586288416,2.7009030732860517,0.2240254137115839,9.465047872340426,50.64595449172577,0.12170271867612294,4.234309692671395,0.3368841607565012,0.07599527186761229,0.018934397163120568,0.00918676122931442,0.11670449172576833,1.8454893617021275,10.046355200945627,0.10379491725768322,0.2457446808510638,0.12532269503546098,1.4677021276595743,0.015189125295508274,0.4841069739952718,0.0047966903073286046,0.06635106382978723,0.062363475177304964,0.008204491725768322,0.04799586288416076,0.005112293144208038,0.5413557919621749,0.06112706855791963,0.023990543735224586,0.11812234042553192,0.004695035460992907,0.016641843971631206,0.02010520094562648,0.030190898345153663,0.07088416075650118,0.006943262411347519,0.40101536643026003,46.24874231678487,83.81510106382979
7,45,51,Con_Cold,Cold,Male,Con,Young,3,0.0707285827082511,0.01549506514015002,0.06540307935254638,0.9051952230556654,0.2620955388866956,0.008936044216344256,0.06430398736675878,0.4074457165416503,0.03563936044216344,0.07882964863797869,0.0745493485984998,1.355503158310304,0.17449328859060403,0.015355902092380578,0.10278582708251086,0.03504007106198184,2.9484622976707464,6.584106395578365,0.24249309119621001,2.134078365574418,0.7286328464271615,13.596320371101461,0.257505527043032,0.30321377812870115,1.296003553099092,0.8782035136202131,0.6248409001184366,19.28139439399921,0.01630517173312278,1.2869230161863405,0.6911423213580734,0.6658507698381366,0.24380122384524278,1.507499407816818,1.1339384129490722,0.1347998420844848,0.0347268061587051,2.7010677062771418,0.2243580734307146,8.508836754836162,59.8745821160679,0.15825977102250294,4.803036715357284,0.42409553888669566,0.07712001579155152,0.023512041058033954,0.014770825108566917,0.11292577970785632,2.011738649822345,11.849778523489933,0.06846999605211213,0.2389198578760363,0.10765179628898539,1.5505990919857875,0.024731346229767078,0.5775568495854718,0.010071851559415713,0.09646841689696013,0.09196841689696013,0.010433083300434269,0.04399684168969601,0.008475917883932097,0.8122615475720492,0.09124832214765101,0.01679253849190683,0.09430043426766681,0.006485590209238058,0.01663028030003948,0.02247039084090012,0.027030201342281877,0.05578365574417687,0.01423312277931307,0.48087347019344656,58.227315041452826,95.28626233714962
8,45,52,Con_Cold,Cold,Male,Con,Young,3,0.07261727202472952,0.015654945904173108,0.07422507727975271,0.8457855486862442,0.2806895285935085,0.007646058732612055,0.06390011591962906,0.379968315301391,0.035940301391035545,0.07526197836166924,0.07692484544049459,1.3667440108191653,0.1615954404945904,0.021506568778979905,0.1015386398763524,0.03519551777434313,3.3218421561051006,7.35120266615147,0.23688292117465223,2.0193013910355484,0.6935459814528594,14.021477782071099,0.30358655332302936,0.2967733771251932,1.2739688948995362,0.6295629829984544,0.6374750772797526,19.27296850850077,0.017284775888717158,1.2015457882534775,0.5918508500772798,0.5417556027820711,0.19100888717156103,1.3946278979907265,1.1000245363214838,0.09027414992272025,0.044697449768160744,2.5779093894899536,0.24914258114374033,8.556526275115921,48.499812403400306,0.1237210200927357,4.381614760432767,0.38696754250386395,0.05452105873261206,0.0241483771251932,0.009660741885625967,0.1318110510046368,2.0537880602782073,10.3701949381762,0.0906097372488408,0.21474053323029366,0.11367252704791346,1.370286514683153,0.013035741885625965,0.49999787480680064,0.0045776661514683155,0.06408442812982998,0.09286495363214839,0.00903825347758887,0.03909273570324575,0.005240146831530138,0.7302357032457496,0.05683945131375579,0.020670208655332305,0.08472449768160743,0.0037673879443585784,0.01273724884080371,0.020250579598145288,0.029259273570324575,0.0590396058732612,0.012405139103554869,0.5134497681607418,58.80215494590417,81.525135625966
9,45,53,Con_Cold,Cold,Male,Con,Young,3,0.07858158415841583,0.012573267326732671,0.07043524752475247,1.073069702970297,0.28875742574257424,0.006445544554455444,0.06008376237623762,0.43949940594059406,0.01475346534653465,0.05173247524752475,0.05760950495049505,0.7727845544554455,0.19053504950495048,0.02441821782178218,0.09621980198019801,0.02802475247524753,2.692113861386139,6.608787326732673,0.1851439603960396,2.0241053465346535,0.5736623762376237,12.627593465346534,0.3517354455445544,0.22824772277227723,1.2156326732673266,0.4739893069306931,0.4703073267326733,16.64690910891089,0.005258019801980198,1.5280146534653465,0.6664609900990099,0.7782118811881187,0.22704356435643563,1.0331346534653465,1.009220792079208,0.09572435643564357,0.03242138613861386,2.1203239603960395,0.2722009900990099,8.234189108910892,69.02886059405941,0.13675960396039605,6.8975281188118815,0.5231079207920792,0.058727524752475245,0.03629346534653465,0.008658415841584157,0.1282289108910891,2.416846930693069,14.375868712871286,0.11831940594059406,0.3266691089108911,0.11143128712871286,1.8172122772277228,0.019135247524752475,0.8014051485148515,0.008837821782178217,0.1047427722772277,0.13180574257425742,0.007593861386138614,0.08234792079207921,0.006045148514851485,0.7423188118811881,0.1192770297029703,0.02381108910891089,0.08768316831683168,0.010857623762376237,0.017677425742574256,0.014710693069306932,0.04129544554455445,0.06539940594059405,0.015568514851485148,0.42466277227722765,52.7068205940594,109.36882336633664
10,45,54,Con_Cold,Cold,Male,Con,Young,3,0.07226136820925552,0.01981388329979879,0.06459718309859154,0.8070905432595573,0.3213217303822937,0.009216700201207243,0.07025553319919517,0.43115492957746476,0.05034205231388329,0.10985492957746477,0.07628933601609657,1.372187927565392,0.16770120724346074,0.018336820925553318,0.12080583501006036,0.037807243460764584,3.536920321931589,8.300236418511066,0.309041046277666,2.5802981891348082,0.8048595573440643,15.129180482897382,0.24597766599597584,0.34257706237424546,1.6537321931589535,0.6452788732394366,0.712629778672032,18.482125955734404,0.015807645875251505,1.1054788732394365,0.7937173038229376,0.558743661971831,0.1703891348088531,1.2972621730382292,1.0706142857142857,0.07990442655935613,0.045279476861167,3.069941649899396,0.1859752515090543,8.40669416498994,49.22035593561368,0.16511408450704224,4.380085110663983,0.5254605633802816,0.07961287726358147,0.03399356136820925,0.013227162977867203,0.14670543259557345,1.9545748490945674,11.519813480885311,0.06501368209255533,0.2103440643863179,0.11993239436619717,1.2275975855130785,0.021456338028169014,0.5104104627766599,0.005779678068410463,0.10164024144869215,0.09700985915492957,0.020130181086519112,0.055831388329979866,0.009918108651911468,0.9155794768611669,0.05986056338028169,0.01786599597585513,0.09815010060362174,0.008795372233400402,0.016446881287726357,0.047017907444668,0.03152595573440644,0.054980885311871223,0.010356338028169014,0.4500615694164989,61.58381227364184,83.90253863179075
